,Movie,Year,Time,IMDB Rating,Film Rating,Metascore,Votes,US Gross Millions,Director,Genres,Description,Actors
279,Barry Lyndon,1975,185,8.1,PG,89        ,147901,-,Stanley Kubrick,"Adventure, Drama, History",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger"
442,The Killing,1956,84,8.0,Approved,91        ,80902,-,Stanley Kubrick,"Crime, Drama, Film-Noir",Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen"
549,Spartacus,1960,197,7.9,PG-13,87        ,123391,30.00,Stanley Kubrick,"Adventure, Biography, Drama",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton"
31,Seven Samurai,1954,207,8.6,Not Rated,98        ,312638,0.27,Akira Kurosawa,"Action, Adventure, Drama",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
77,High and Low,1963,143,8.4,Not Rated,-,33194,-,Akira Kurosawa,"Crime, Drama, Mystery",An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa"
123,Ikiru,1952,143,8.3,Not Rated,-,67338,0.06,Akira Kurosawa,Drama,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka"
172,Ran,1985,162,8.2,R,96        ,111152,4.14,Akira Kurosawa,"Action, Drama, War","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû"
181,Yojimbo,1961,110,8.2,Not Rated,-,109805,-,Akira Kurosawa,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa"
189,Rashomon,1950,88,8.2,Not Rated,98        ,150866,0.10,Akira Kurosawa,"Crime, Drama, Mystery","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura"
292,Sanjuro,1962,96,8.1,Not Rated,-,32442,-,Akira Kurosawa,"Action, Comedy, Crime","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.","Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô"
